ID,name,nickname,lat,lon,elev_assumed_earlier,elev_mean_from_altimetry,elev_linear_slope,elev_linear_intercept,N_altimetry_measurements,elev_fit_t0,elev_fit_t1,elev_change_linear,elev_change_n_years,Date of installation,Last valid time,Length of record (years)
1,Swiss Camp,SWC,69.5556,-49.3647,1138.0,1133.5,-0.8000,2739.5,12.0,1995.39,2019.37,-19.2,24.0,1995-01-01,2022-08-03,27.61
2,Crawford Point 1,CP1,69.8742,-47.0242,2022.0,1955.3,-0.3410,2639.9,11.0,1995.39,2019.36,-8.2,24.0,1995-05-23,2020-07-22,25.18
13,CP2,CP2,69.9133,-46.8547,1990.0,1936.8,-0.5604,3062.2,9.0,1997.38,2019.36,-12.3,22.0,1997-05-12,2001-05-29,4.05
9,JAR1,JAR,69.4933,-49.7142,900.0,914.5,-0.9346,2791.6,16.0,1997.38,2019.35,-20.5,22.0,1996-06-19,2019-09-08,23.24
17,JAR2,JR2,69.42,-50.0575,568.0,505.3,-1.9113,4344.0,9.0,1997.38,2019.37,-42.0,22.0,1999-05-30,2013-06-16,14.06
19,JAR3,JR3,69.3944,-50.31,323.0,249.7,-1.7447,3753.8,7.0,1997.38,2019.37,-38.4,22.0,2000-05-28,2004-05-25,3.99
3,NASA-U,NAU,73.8407,-49.5265,2369.0,2333.1,nan,nan,1.0,nan,nan,nan,1.0,1995-05-31,2023-06-18,28.07
4,GITS,GIT,77.1378,-61.0411,1887.0,1871.9,0.0978,1675.3,9.0,1999.36,2019.68,2.0,20.3,1995-06-07,2021-08-13,26.2
5,Humboldt,HUM,78.5283,-56.8423,1950.0,1955.1,0.2717,1409.4,10.0,1997.39,2019.29,6.0,21.9,1995-06-22,2023-06-30,28.04
6,Summit,SUM,72.5797,-38.5045,3254.0,3204.9,0.0375,3129.6,7.0,1995.39,2019.70,0.9,24.3,1996-05-13,2022-09-20,26.37
7,Tunu-N,TUN,78.0188,-33.9668,2113.0,2073.4,-0.0537,2181.3,7.0,1999.36,2019.31,-1.1,19.9,1996-05-16,2023-06-20,27.11
8,DYE-2,DY2,66.482,-46.2908,2165.0,2111.3,0.1717,1766.5,12.0,1997.37,2018.31,3.6,20.9,1996-05-24,2023-06-14,27.07
10,Saddle,SDL,65.9999,-44.5026,2451.0,2459.3,0.2164,2024.1,8.0,2002.42,2019.37,3.7,16.9,1997-04-20,2021-10-16,24.51
11,South Dome,SDM,63.1489,-44.8175,2878.0,2878.8,nan,nan,1.0,nan,nan,nan,1.0,1997-04-23,2021-06-21,24.18
12,NASA-E,NAE,75.0023,-29.9838,2610.0,2622.9,nan,nan,1.0,nan,nan,nan,1.0,1997-05-03,2022-09-20,25.4
15,NASA-SE,NSE,66.4779,-42.4951,2360.0,2368.6,nan,nan,1.0,nan,nan,nan,1.0,1998-04-24,2019-09-26,21.44
14,NGRIP,NGRP,75.0998,-42.3326,2950.0,2919.0,0.0519,2814.8,3.0,2002.38,2011.35,0.5,9.0,1997-07-09,2010-05-08,12.84
23,NEEM,NEM,77.4413,-51.0999,2460.0,2448.4,-0.1031,2656.2,2.0,2011.35,2019.30,-0.8,8.0,2006-03-29,2022-09-20,16.49
24,EastGRIP,EGP,75.6268,-35.9801,2653.0,2663.2,0.0062,2650.8,4.0,1997.39,2019.30,0.1,21.9,2014-05-17,2023-06-22,9.1
16,KAR,KAR,69.6994,-33.0006,2579.0,2558.4,-1.2285,5036.1,2.0,2015.31,2018.30,-3.7,3.0,1999-05-19,2001-06-07,2.05
18,KULU,KUL,65.7585,-39.6018,878.0,873.3,-2.7178,6330.3,8.0,1997.37,2018.32,-56.9,20.9,1999-06-17,2000-09-14,1.25
20,Aurora,AUR,67.1358,-47.2922,1798.0,1750.6,-0.9654,3693.0,3.0,2010.37,2013.28,-2.8,2.9,2000-06-24,2001-05-06,0.87
21,Petermann Glacier,PTG,80.6836,-60.2931,37.0,29.4,-1.3918,2825.0,6.0,1997.41,2019.68,-31.0,22.3,2002-06-04,2006-05-01,3.91
22,Petermann ELA,PET,80.0993,-58.1497,907.0,946.4,-0.1150,1177.6,6.0,2002.41,2019.29,-1.9,16.9,2003-05-23,2022-09-20,19.34
