site,lat,lon,elev
106_1991-07-25,69.57342355472223,-49.297630481666666,1179.38
106_1994-06-19,69.57167771138889,-49.304528796944446,1176.40
106_1995-06-26,69.57107969305555,-49.30692892416667,1174.21
106_1996-06-12,69.57048397166666,-49.30931326361111,1172.07
106_1999-07-29,69.56860526944445,-49.316929888888886,1165.83
106_2002-07-30,69.56683677444444,-49.32425838527778,1157.91
106_2004-08-14,69.56564794916666,-49.32924205277778,1152.67
106_2005-08-04,69.56507585916667,-49.33160670944444,1153.02
106_2006-08-17,69.56446176916667,-49.33413461388889,1146.22
106_2008-08-11,69.56327205916666,-49.33892351027778,1148.95
106_2011-08-01,69.56143399111112,-49.3461682375,1151.11
106_2014-08-05,69.559549265,-49.35347498694444,1152.40
120_1991-07-25,69.57311061055556,-49.277331035833335,1193.83
120_1994-06-19,69.57137217166667,-49.28407744638889,1190.97
120_1995-06-26,69.57076206527778,-49.28648941972222,1189.51
120_1996-06-12,69.57015326833333,-49.28888842388889,1187.50
120_1999-07-29,69.56823619833334,-49.29655782277778,1182.13
120_2002-07-30,69.5664207825,-49.30394640111111,1175.29
120_2004-08-14,69.5651920213889,-49.30900936,1169.40
120_2005-08-04,69.5646126775,-49.31145095555556,1166.69
120_2006-08-17,69.5639759313889,-49.31401478722222,1163.56
120_2008-08-11,69.56276767527778,-49.31907941111111,1156.32
120_2011-08-01,69.5609092538889,-49.32668884611111,1147.30
120_2014-08-05,69.55899546666667,-49.33424305611111,1141.83
121_1991-07-25,69.57990914972223,-49.27472024111111,1196.16
121_1994-06-19,69.57814215111111,-49.28158328777778,1192.72
121_1995-06-26,69.57753511722223,-49.28394090555555,1190.92
121_1996-06-12,69.57692948277777,-49.28628324333334,1188.30
121_1999-07-29,69.57502899944444,-49.29378051083334,1182.04
121_2002-07-30,69.57322946333333,-49.3009984375,1175.45
121_2004-08-14,69.57199997583334,-49.30596900166667,1170.74
121_2005-08-04,69.57141448555555,-49.30833191138889,1168.79
121_2006-08-17,69.57079445694444,-49.310843274444444,1166.55
121_2008-08-11,69.56956316583333,-49.31579320472222,1160.66
121_2011-08-01,69.56771824861111,-49.32330811194444,1150.40
121_2014-08-05,69.56586260583333,-49.330871226944446,1139.47
122_1991-07-25,69.57499941805555,-49.28146606611111,1191.12
122_1994-06-19,69.57334265638889,-49.288177724722225,1187.69
122_1995-06-26,69.57274065083334,-49.29058774055556,1185.87
122_1996-06-12,69.57213726361111,-49.292970420277776,1183.68
122_1999-07-29,69.57023426277777,-49.30058370305556,1178.08
122_2002-07-30,69.56842943111111,-49.30791464027778,1171.78
122_2004-08-14,69.5672070086111,-49.312927046944445,1166.06
122_2005-08-04,69.56662384472222,-49.31533028388889,1163.34
122_2006-08-17,69.56600102583333,-49.317911943333336,1160.17
122_2008-08-11,69.56482251027778,-49.322902185,1153.32
122_2011-08-01,69.56298768277777,-49.33044431611111,1145.00
122_2014-08-05,69.56110977916667,-49.33792073138889,1140.94
ST200_2004-08-11,69.50779512722222,-49.65264646055556,1004.95
ST200_2005-08-02,69.5074673911111,-49.65419892222222,1001.84
ST200_2006-08-15,69.50712789694444,-49.6558237375,1000.56
ST200_2008-08-08,69.50648463583333,-49.658910515277775,995.18
ST200_2011-07-30,69.50547118166666,-49.66368433611111,984.76
ST200_2014-08-07,69.50457037083333,-49.66839844138889,969.86
ST201_2004-08-11,69.50504730861111,-49.6394678675,989.72
ST201_2005-08-02,69.50467056666666,-49.6410288,989.26
ST201_2006-08-15,69.504278935,-49.64267282138889,988.64
ST201_2008-08-08,69.50353802083333,-49.64583098194444,984.98
ST201_2011-07-30,69.502432505,-49.65072499194444,978.54
ST201_2014-08-07,69.501374455,-49.65540365583333,969.54
ST202_2004-08-11,69.50500524777777,-49.665930405,987.58
ST202_2005-08-02,69.5047011475,-49.66749552416667,983.90
ST202_2006-08-15,69.50438958583334,-49.66913196388889,981.46
ST202_2008-08-08,69.50379045694444,-49.67226096277778,969.76
ST202_2011-07-30,69.50294823222222,-49.67688104138889,959.54
ST202_2014-08-07,69.50217304138889,-49.681409789444444,952.85
ST203_2004-08-11,69.51317808472223,-49.652773923055555,1008.40
ST203_2005-08-02,69.51288889305556,-49.6543454575,1006.11
ST203_2006-08-15,69.51258883944445,-49.655996790277776,1003.01
ST203_2008-08-08,69.51202194833333,-49.659127875277775,995.03
ST203_2011-07-30,69.51114421166666,-49.6638111275,984.60
ST203_2014-08-07,69.5103327075,-49.668229466944446,975.35
